tripduration,usertype
13.68369565,member
-28.81722222,member
24.81356589,member
6.423809524,member
13.06111111,member
14.78777778,member
-89.90493827,member
31.95,member
5.511111111,member
7.85,member
-1361.666667,member
26.87222222,member
13.15208333,member
18.57304965,member
-6.118013468,member
-6.95,member
8.872222222,member
7.38,member
30.13125,member
11.53333333,member
21.50512821,member
10.46666667,member
9.6625,member
15.07241379,member
15.91,member
3.458333333,member
20.74444444,member
12.13531746,member
30.44444444,member
13.59166667,member
20.06666667,member
7.091666667,member
44.28333333,member
7.666666667,member
-16.91403509,member
14.45520833,member
22.49087719,member
20.31235772,member
19.89603175,member
5.102777778,member
5.8,member
8.42,member
16.81666667,member
15.82330097,member
22.26972222,member
16.38666667,member
12.66846154,member
20.44140893,member
16.88181049,member
11.70666667,member
16.83597122,member
31.1648318,member
16.23002874,member
22.36036155,member
5.448397436,member
18.18669468,member
13.13888889,member
21.93650213,member
10.39848485,member
-17.05119048,member
11.81625514,member
12.56176471,member
12.03123909,member
29.43333333,member
35.02045455,member
47.33734568,member
24.12373188,member
6.245057471,member
5.148758865,member
23.4590604,member
23.13333333,member
17.59212963,member
40.4160793,member
27.39222222,member
21.60347826,member
-15.82027027,member
56.47857143,member
24.95652174,member
26.26306306,member
-99.83333333,member
16.29583333,member
-44.50555556,member
62.45555556,member
22.16111111,member
14.209375,member
16.76813725,member
17.57294686,member
22.36333333,member
19.21353383,member
6.728175618,member
30.33333333,member
18.29444444,member
16.2191358,member
27.32671958,member
72.47857143,member
21.11666667,member
20.94236948,member
-8.408447489,member
48.31794872,member
33.90555556,member
20.49166667,member
-34.29666667,member
39.11333333,member
25.99883721,member
18.35512821,member
223.1666667,member
13.39230769,member
28.321875,member
20.45434783,member
39.88095238,member
17.56610082,member
17.84583333,member
9.076842105,member
7.156666667,member
28.46149425,member
5.851024209,member
15.94543236,member
-1.150474496,member
32.21401274,member
24.25033719,member
34.7075,member
28.29598997,member
14.55515873,member
16.8491018,member
19.33553571,member
14.47727273,member
31.42254408,member
30.92619048,member
18.07540029,member
27.8469697,member
34.79866352,member
30.18240741,member
27.40797101,member
17.80416667,member
30.68215962,member
11.4663522,member
25.44511111,member
28.64770115,member
20.4318408,member
-9.7003367,member
32.01984127,member
20.75611111,member
22.97363184,member
22.43415301,member
38.56777778,member
46.29,member
27.40987654,member
13.97539683,member
-12.97283951,member
11.73958333,member
34.72748918,member
14.19065041,member
-14.2275641,member
16.62192982,member
15.44705882,member
1.904848485,member
9.370689655,member
-1.178985507,member
-11.24361702,member
47.02933333,member
-746.1,member
18.87473545,member
-116.7484848,member
35.38666667,member
19.7297619,member
31.33888889,member
26.4625,member
43.06336996,member
23.73707483,member
27.37642276,member
13.67982456,member
35.88518519,member
53.13598485,member
41.32982456,member
19.4375,member
28.96333333,member
49.72135417,member
29.23914729,member
-2.021481481,member
15.275,member
11.64166667,member
6.3,member
35.76008403,member
21.29343434,member
28.37940075,member
20.96549894,member
23.55802469,member
24.66714836,member
7.868610013,member
17.11299145,member
25.81227106,member
18.73099291,member
24.78974359,member
18.74590018,member
10.92231544,member
29.55621469,member
18.1653607,member
4.923245614,member
17.37,member
1.62226614,member
1.146853147,member
23.29476456,member
23.09481481,member
15.94761905,member
16.19880582,member
27.445053,member
3.923263889,member
28.77514828,member
6.495035461,member
22.86436782,member
9.96611279,member
10.67335116,member
17.48872875,member
15.15099338,member
16.62440476,member
22.42205128,member
-12.81675627,member
14.32682927,member
19.07654321,member
19.86359649,member
27.60394737,member
13.09796748,member
15.69280303,member
75.53333333,member
27.54936387,member
14.95833333,member
65.17916667,member
36.82575758,member
17.7,member
36.83442761,member
22.50185185,member
36,member
-14.55324074,member
22.96722222,member
